Plant Name,Temperature (°C),Soil Type,Soil pH,Growth Stage,Available Waste Products
Chili,20.7,Clay,5.9,Initial,"Eggshells, Sugarcane Bagasse, Worm Castings"
Carrot,26.8,Silt,6.5,Final,"Coffee Grounds, Worm Castings, Coconut Shells"
Watermelon,15.6,Clay,6.8,Growth,"Vegetable Scraps, Pea Pods, Coffee Grounds"
Spinach,15.7,Clay,5.8,Growth,"Chicken Manure, Worm Castings, Vegetable Scraps"
Lettuce,31.5,Loamy,6.2,Growth,"Mulch (Wood Chips), Pea Pods, Banana Peels"
Watermelon,22.2,Peat,7.3,Growth,"Worm Castings, Rice Husk, Sugarcane Bagasse"
Cabbage,17.5,Chalk,7.7,Initial,"Cow Manure, Eggshells, Sugarcane Bagasse"
Spinach,25.4,Chalk,8.5,Initial,"Chicken Manure, Alfalfa Hay, Corn Stalks"
Pumpkin,30.4,Silt,8.3,Final,"Eggshells, Coconut Shells, Banana Peels"
Zucchini,19.3,Silt,7.4,Growth,"Pea Pods, Banana Peels, Fruit Scraps"
Brinjal,27.5,Chalk,6.8,Initial,"Mulch (Wood Chips), Coconut Shells, Compost"
Onion,16.7,Peat,7.4,Initial,"Cow Manure, Tree Leaves, Rice Husk"
Peas,16.0,Chalk,7.9,Final,"Chicken Manure, Grass Clippings, Worm Castings"
Mango,25.6,Peat,5.9,Final,"Compost, Mulch (Wood Chips), Coconut Shells"
Onion,25.8,Silt,6.7,Final,"Cow Manure, Vegetable Scraps, Coffee Grounds"
Lettuce,27.7,Sand,8.0,Initial,"Mulch (Wood Chips), Chicken Manure, Alfalfa Hay"
Carrot,29.5,Loamy,6.7,Initial,"Tree Leaves, Coconut Shells, Pea Pods"
Beetroot,34.5,Silt,7.2,Final,"Compost, Chicken Manure, Coconut Shells"
Beetroot,25.3,Silt,7.3,Growth,"Pea Pods, Cow Manure, Worm Castings"
Mango,21.5,Clay,6.1,Final,"Worm Castings, Coffee Grounds, Coconut Shells"
Zucchini,30.9,Clay,6.6,Final,"Grass Clippings, Mulch (Wood Chips), Compost"
Cabbage,20.4,Clay,6.5,Final,"Fish Emulsion, Alfalfa Hay, Grass Clippings"
Broccoli,23.8,Loamy,5.6,Final,"Sugarcane Bagasse, Mulch (Wood Chips), Seaweed Extract"
Chili,16.6,Clay,5.6,Initial,"Corn Stalks, Vegetable Scraps, Eggshells"
Watermelon,15.5,Peat,8.0,Growth,"Eggshells, Sugarcane Bagasse, Tree Leaves"
Cauliflower,34.3,Chalk,6.3,Final,"Tree Leaves, Mulch (Wood Chips), Grass Clippings"
Mango,31.7,Sand,7.1,Growth,"Chicken Manure, Fish Emulsion, Seaweed Extract"
Broccoli,28.9,Silt,6.4,Growth,"Fish Emulsion, Banana Peels, Pea Pods"
Watermelon,23.2,Peat,8.3,Growth,"Coconut Shells, Fruit Scraps, Pea Pods"
Chili,18.5,Sand,6.3,Final,"Cow Manure, Banana Peels, Corn Stalks"
Peas,18.1,Peat,6.8,Initial,"Worm Castings, Eggshells, Sugarcane Bagasse"
Onion,20.0,Peat,8.1,Final,"Eggshells, Vegetable Scraps, Coconut Shells"
Brinjal,26.0,Silt,8.0,Growth,"Fish Emulsion, Seaweed Extract, Coffee Grounds"
Radish,29.3,Chalk,6.1,Growth,"Eggshells, Worm Castings, Pea Pods"
Onion,28.2,Clay,7.9,Initial,"Cow Manure, Corn Stalks, Rice Husk"
Garlic,20.6,Loamy,6.9,Final,"Seaweed Extract, Coconut Shells, Fruit Scraps"
Broccoli,34.1,Chalk,6.9,Growth,"Alfalfa Hay, Vegetable Scraps, Mulch (Wood Chips)"
Cucumber,29.8,Loamy,5.9,Initial,"Corn Stalks, Banana Peels, Alfalfa Hay"
Garlic,26.1,Silt,5.7,Growth,"Grass Clippings, Mulch (Wood Chips), Alfalfa Hay"
Chili,27.2,Silt,7.7,Initial,"Rice Husk, Eggshells, Tree Leaves"
Watermelon,23.4,Silt,7.0,Initial,"Alfalfa Hay, Cow Manure, Chicken Manure"
Beetroot,20.0,Sand,6.8,Final,"Sugarcane Bagasse, Fruit Scraps, Chicken Manure"
Garlic,22.1,Loamy,7.7,Growth,"Coffee Grounds, Eggshells, Pea Pods"
Carrot,30.2,Chalk,7.8,Final,"Rice Husk, Tree Leaves, Eggshells"
Pumpkin,15.3,Chalk,6.0,Growth,"Alfalfa Hay, Coffee Grounds, Corn Stalks"
Garlic,17.3,Peat,7.3,Final,"Sugarcane Bagasse, Coffee Grounds, Rice Husk"
Lettuce,15.9,Peat,5.9,Growth,"Pea Pods, Chicken Manure, Mulch (Wood Chips)"
Lettuce,15.8,Peat,7.8,Final,"Chicken Manure, Rice Husk, Alfalfa Hay"
Spinach,32.1,Silt,7.5,Initial,"Mulch (Wood Chips), Fish Emulsion, Tree Leaves"
Peas,29.1,Chalk,8.4,Growth,"Rice Husk, Coffee Grounds, Compost"
Pumpkin,24.5,Loamy,5.7,Growth,"Banana Peels, Tree Leaves, Corn Stalks"
Potato,17.0,Silt,5.7,Initial,"Eggshells, Mulch (Wood Chips), Cow Manure"
Lettuce,24.8,Sand,6.3,Final,"Fish Emulsion, Pea Pods, Grass Clippings"
Pumpkin,24.5,Peat,6.3,Growth,"Fruit Scraps, Rice Husk, Pea Pods"
Watermelon,18.5,Silt,6.2,Growth,"Vegetable Scraps, Mulch (Wood Chips), Fruit Scraps"
Garlic,23.7,Silt,8.2,Final,"Sugarcane Bagasse, Fruit Scraps, Pea Pods"
Zucchini,23.0,Sand,6.2,Initial,"Alfalfa Hay, Grass Clippings, Chicken Manure"
Chili,27.3,Clay,6.3,Final,"Eggshells, Alfalfa Hay, Banana Peels"
Onion,27.7,Chalk,7.8,Final,"Coffee Grounds, Coconut Shells, Banana Peels"
Mango,15.9,Loamy,6.8,Final,"Grass Clippings, Alfalfa Hay, Compost"
Pumpkin,22.5,Clay,7.8,Growth,"Coffee Grounds, Mulch (Wood Chips), Eggshells"
Tomato,27.5,Peat,5.7,Initial,"Cow Manure, Fish Emulsion, Sugarcane Bagasse"
Broccoli,25.1,Silt,7.0,Initial,"Chicken Manure, Worm Castings, Alfalfa Hay"
Watermelon,32.1,Sand,5.6,Final,"Eggshells, Vegetable Scraps, Chicken Manure"
Pumpkin,28.2,Sand,5.7,Growth,"Alfalfa Hay, Cow Manure, Vegetable Scraps"
Peas,18.3,Chalk,8.2,Final,"Grass Clippings, Rice Husk, Fish Emulsion"
Spinach,16.4,Clay,5.9,Growth,"Vegetable Scraps, Banana Peels, Chicken Manure"
Carrot,27.8,Chalk,7.1,Growth,"Eggshells, Fish Emulsion, Coffee Grounds"
Chili,15.5,Silt,6.7,Growth,"Mulch (Wood Chips), Tree Leaves, Grass Clippings"
Beetroot,26.7,Chalk,6.5,Growth,"Mulch (Wood Chips), Compost, Grass Clippings"
Mango,33.8,Loamy,8.2,Initial,"Corn Stalks, Fish Emulsion, Alfalfa Hay"
Tomato,26.5,Sand,5.6,Growth,"Cow Manure, Mulch (Wood Chips), Worm Castings"
Chili,22.8,Sand,7.5,Growth,"Fruit Scraps, Rice Husk, Mulch (Wood Chips)"
Beetroot,27.9,Peat,8.4,Final,"Fish Emulsion, Sugarcane Bagasse, Worm Castings"
Pumpkin,24.2,Peat,7.2,Final,"Vegetable Scraps, Grass Clippings, Coconut Shells"
Spinach,25.9,Silt,8.3,Initial,"Worm Castings, Banana Peels, Coconut Shells"
Peas,33.8,Loamy,5.7,Final,"Alfalfa Hay, Sugarcane Bagasse, Grass Clippings"
Peas,22.7,Clay,6.8,Growth,"Pea Pods, Coffee Grounds, Mulch (Wood Chips)"
Brinjal,34.2,Chalk,6.3,Final,"Fish Emulsion, Corn Stalks, Coffee Grounds"
Mango,33.1,Silt,7.7,Initial,"Chicken Manure, Sugarcane Bagasse, Rice Husk"
Mango,18.9,Peat,8.4,Final,"Rice Husk, Cow Manure, Corn Stalks"
Zucchini,16.4,Chalk,6.3,Final,"Chicken Manure, Pea Pods, Cow Manure"
Zucchini,17.0,Peat,7.5,Initial,"Fish Emulsion, Corn Stalks, Eggshells"
Cabbage,15.4,Chalk,6.1,Initial,"Alfalfa Hay, Sugarcane Bagasse, Fruit Scraps"
Pumpkin,16.9,Clay,7.2,Growth,"Banana Peels, Alfalfa Hay, Cow Manure"
Pumpkin,28.7,Silt,6.9,Final,"Fish Emulsion, Corn Stalks, Vegetable Scraps"
Cauliflower,16.4,Chalk,8.4,Growth,"Tree Leaves, Coffee Grounds, Fish Emulsion"
Garlic,21.4,Loamy,7.3,Final,"Sugarcane Bagasse, Pea Pods, Grass Clippings"
Chili,31.9,Sand,6.5,Final,"Vegetable Scraps, Seaweed Extract, Sugarcane Bagasse"
Brinjal,15.5,Loamy,5.8,Growth,"Tree Leaves, Banana Peels, Worm Castings"
Tomato,31.3,Loamy,6.0,Final,"Pea Pods, Fish Emulsion, Worm Castings"
Pumpkin,20.6,Sand,6.2,Final,"Corn Stalks, Fish Emulsion, Coconut Shells"
Cabbage,17.4,Loamy,6.3,Final,"Tree Leaves, Pea Pods, Chicken Manure"
Chili,28.9,Chalk,8.1,Initial,"Mulch (Wood Chips), Chicken Manure, Seaweed Extract"
Watermelon,27.6,Chalk,7.2,Growth,"Sugarcane Bagasse, Worm Castings, Cow Manure"
Watermelon,32.5,Chalk,7.1,Initial,"Seaweed Extract, Mulch (Wood Chips), Worm Castings"
Radish,29.7,Sand,5.8,Growth,"Alfalfa Hay, Pea Pods, Cow Manure"
Pumpkin,31.1,Loamy,8.1,Growth,"Vegetable Scraps, Fruit Scraps, Eggshells"
Broccoli,20.6,Sand,7.7,Final,"Eggshells, Pea Pods, Cow Manure"
Potato,18.5,Chalk,5.7,Growth,"Compost, Cow Manure, Coconut Shells"
Zucchini,30.0,Loamy,7.6,Initial,"Seaweed Extract, Tree Leaves, Eggshells"
Cabbage,31.1,Loamy,7.1,Initial,"Rice Husk, Eggshells, Coffee Grounds"
Carrot,34.8,Peat,5.7,Initial,"Pea Pods, Worm Castings, Tree Leaves"
Cucumber,23.3,Peat,6.9,Growth,"Corn Stalks, Banana Peels, Rice Husk"
Tomato,22.4,Clay,7.0,Initial,"Compost, Mulch (Wood Chips), Tree Leaves"
Cucumber,30.5,Silt,6.0,Growth,"Mulch (Wood Chips), Seaweed Extract, Grass Clippings"
Spinach,21.8,Peat,8.3,Initial,"Coffee Grounds, Alfalfa Hay, Sugarcane Bagasse"
Watermelon,33.6,Sand,8.0,Initial,"Mulch (Wood Chips), Seaweed Extract, Banana Peels"
Broccoli,32.2,Peat,7.5,Growth,"Worm Castings, Chicken Manure, Tree Leaves"
Mango,23.6,Clay,6.9,Initial,"Banana Peels, Pea Pods, Coffee Grounds"
Tomato,30.0,Loamy,6.7,Final,"Chicken Manure, Alfalfa Hay, Compost"
Pumpkin,30.1,Clay,7.5,Growth,"Mulch (Wood Chips), Seaweed Extract, Pea Pods"
Carrot,17.1,Loamy,7.1,Growth,"Coffee Grounds, Sugarcane Bagasse, Banana Peels"
Broccoli,33.1,Loamy,5.7,Growth,"Seaweed Extract, Tree Leaves, Worm Castings"
Tomato,25.1,Silt,7.0,Final,"Eggshells, Worm Castings, Banana Peels"
Onion,31.5,Peat,7.9,Growth,"Rice Husk, Alfalfa Hay, Coffee Grounds"
Garlic,21.4,Sand,6.9,Initial,"Tree Leaves, Sugarcane Bagasse, Grass Clippings"
Mango,32.9,Sand,5.7,Initial,"Worm Castings, Alfalfa Hay, Rice Husk"
Carrot,22.8,Chalk,7.9,Initial,"Worm Castings, Corn Stalks, Coffee Grounds"
Brinjal,15.2,Loamy,6.1,Growth,"Eggshells, Mulch (Wood Chips), Compost"
Garlic,33.1,Sand,6.3,Initial,"Sugarcane Bagasse, Corn Stalks, Mulch (Wood Chips)"
Cabbage,16.8,Silt,6.0,Growth,"Tree Leaves, Grass Clippings, Coconut Shells"
Broccoli,21.4,Loamy,6.5,Initial,"Chicken Manure, Seaweed Extract, Cow Manure"
Cauliflower,34.0,Silt,7.8,Final,"Seaweed Extract, Coffee Grounds, Chicken Manure"
Garlic,34.0,Sand,7.1,Final,"Seaweed Extract, Sugarcane Bagasse, Coffee Grounds"
Potato,26.5,Sand,6.1,Final,"Vegetable Scraps, Corn Stalks, Eggshells"
Lettuce,27.6,Chalk,8.1,Final,"Worm Castings, Banana Peels, Pea Pods"
Zucchini,24.0,Sand,8.1,Growth,"Mulch (Wood Chips), Pea Pods, Corn Stalks"
Watermelon,20.9,Loamy,8.1,Initial,"Cow Manure, Grass Clippings, Fruit Scraps"
Cauliflower,21.6,Loamy,6.2,Final,"Cow Manure, Pea Pods, Worm Castings"
Spinach,28.5,Loamy,6.9,Growth,"Fruit Scraps, Chicken Manure, Eggshells"
Broccoli,30.0,Chalk,8.5,Final,"Worm Castings, Cow Manure, Fruit Scraps"
Onion,30.8,Chalk,7.8,Final,"Fruit Scraps, Banana Peels, Coffee Grounds"
Carrot,30.8,Sand,5.6,Growth,"Mulch (Wood Chips), Chicken Manure, Coconut Shells"
Beetroot,16.8,Clay,5.7,Growth,"Rice Husk, Coffee Grounds, Fruit Scraps"
Cucumber,24.9,Clay,6.9,Initial,"Corn Stalks, Sugarcane Bagasse, Seaweed Extract"
Cabbage,16.2,Chalk,8.2,Initial,"Corn Stalks, Mulch (Wood Chips), Banana Peels"
Radish,26.0,Sand,7.1,Final,"Worm Castings, Pea Pods, Coffee Grounds"
Garlic,23.8,Clay,7.0,Final,"Banana Peels, Seaweed Extract, Vegetable Scraps"
Broccoli,32.8,Sand,5.8,Initial,"Fish Emulsion, Seaweed Extract, Compost"
Broccoli,22.0,Sand,7.5,Initial,"Worm Castings, Fish Emulsion, Fruit Scraps"
Radish,17.3,Sand,8.0,Growth,"Vegetable Scraps, Chicken Manure, Compost"
Zucchini,17.9,Peat,6.6,Initial,"Compost, Tree Leaves, Grass Clippings"
Garlic,30.2,Loamy,7.8,Initial,"Fruit Scraps, Coconut Shells, Compost"
Carrot,27.4,Sand,8.4,Final,"Banana Peels, Rice Husk, Pea Pods"
Tomato,17.0,Peat,6.1,Initial,"Tree Leaves, Worm Castings, Corn Stalks"
Pumpkin,16.7,Chalk,7.1,Final,"Fish Emulsion, Pea Pods, Chicken Manure"
Cauliflower,29.0,Clay,6.4,Initial,"Fish Emulsion, Corn Stalks, Sugarcane Bagasse"
Potato,16.5,Loamy,7.9,Growth,"Mulch (Wood Chips), Tree Leaves, Fruit Scraps"
Onion,31.4,Clay,7.2,Initial,"Grass Clippings, Eggshells, Seaweed Extract"
Cauliflower,29.1,Loamy,7.4,Initial,"Compost, Coconut Shells, Rice Husk"
Pumpkin,16.6,Clay,7.9,Initial,"Cow Manure, Fruit Scraps, Vegetable Scraps"
Mango,16.7,Loamy,6.7,Final,"Mulch (Wood Chips), Fruit Scraps, Coconut Shells"
Tomato,34.7,Clay,8.2,Growth,"Eggshells, Corn Stalks, Chicken Manure"
Onion,22.5,Clay,7.1,Initial,"Seaweed Extract, Chicken Manure, Eggshells"
Cucumber,22.4,Clay,6.0,Final,"Sugarcane Bagasse, Banana Peels, Tree Leaves"
Onion,31.3,Clay,7.6,Growth,"Fruit Scraps, Vegetable Scraps, Seaweed Extract"
Tomato,33.9,Chalk,7.9,Final,"Compost, Fruit Scraps, Coconut Shells"
Radish,34.7,Sand,6.5,Final,"Tree Leaves, Grass Clippings, Rice Husk"
Garlic,30.1,Silt,8.1,Growth,"Banana Peels, Sugarcane Bagasse, Corn Stalks"
Peas,22.5,Peat,8.2,Initial,"Grass Clippings, Pea Pods, Sugarcane Bagasse"
Broccoli,16.7,Silt,6.3,Final,"Mulch (Wood Chips), Pea Pods, Grass Clippings"
Onion,30.5,Silt,8.5,Final,"Banana Peels, Worm Castings, Coffee Grounds"
Spinach,26.2,Loamy,5.9,Initial,"Grass Clippings, Fruit Scraps, Coffee Grounds"
Chili,23.5,Sand,6.1,Initial,"Coconut Shells, Compost, Fruit Scraps"
Beetroot,33.1,Loamy,6.1,Growth,"Coconut Shells, Chicken Manure, Corn Stalks"
Watermelon,17.2,Sand,8.2,Growth,"Vegetable Scraps, Fish Emulsion, Coconut Shells"
Tomato,24.9,Sand,7.5,Growth,"Tree Leaves, Coffee Grounds, Coconut Shells"
Brinjal,15.2,Clay,6.0,Initial,"Alfalfa Hay, Vegetable Scraps, Coffee Grounds"
Zucchini,24.4,Chalk,6.8,Final,"Vegetable Scraps, Seaweed Extract, Tree Leaves"
Beetroot,16.1,Clay,7.3,Final,"Sugarcane Bagasse, Fruit Scraps, Eggshells"
Chili,17.4,Chalk,5.8,Growth,"Eggshells, Alfalfa Hay, Coffee Grounds"
Cucumber,17.4,Loamy,8.1,Initial,"Tree Leaves, Worm Castings, Grass Clippings"
Broccoli,28.0,Chalk,7.9,Final,"Chicken Manure, Rice Husk, Banana Peels"
Zucchini,29.9,Loamy,7.0,Growth,"Fruit Scraps, Eggshells, Grass Clippings"
Radish,26.7,Silt,8.4,Final,"Fish Emulsion, Grass Clippings, Worm Castings"
Lettuce,34.2,Silt,6.8,Final,"Coconut Shells, Alfalfa Hay, Coffee Grounds"
Peas,22.5,Chalk,8.5,Initial,"Fish Emulsion, Tree Leaves, Sugarcane Bagasse"
Carrot,20.7,Chalk,7.5,Initial,"Compost, Grass Clippings, Coffee Grounds"
Lettuce,32.4,Loamy,7.4,Final,"Cow Manure, Compost, Corn Stalks"
Pumpkin,19.5,Clay,6.0,Growth,"Vegetable Scraps, Coffee Grounds, Fish Emulsion"
Spinach,34.3,Loamy,8.1,Initial,"Sugarcane Bagasse, Fruit Scraps, Mulch (Wood Chips)"
Mango,15.2,Clay,6.8,Final,"Sugarcane Bagasse, Coffee Grounds, Alfalfa Hay"
Onion,34.4,Silt,6.0,Initial,"Corn Stalks, Vegetable Scraps, Coconut Shells"
Peas,15.9,Sand,5.5,Initial,"Fruit Scraps, Chicken Manure, Grass Clippings"
Onion,32.8,Chalk,7.2,Initial,"Tree Leaves, Grass Clippings, Coconut Shells"
Radish,25.6,Clay,7.1,Final,"Tree Leaves, Coconut Shells, Cow Manure"
Zucchini,34.9,Loamy,7.7,Growth,"Sugarcane Bagasse, Worm Castings, Chicken Manure"
Peas,16.5,Silt,8.2,Growth,"Grass Clippings, Coconut Shells, Seaweed Extract"
Pumpkin,26.1,Clay,5.7,Growth,"Corn Stalks, Fruit Scraps, Chicken Manure"
Pumpkin,34.4,Loamy,7.7,Initial,"Banana Peels, Mulch (Wood Chips), Rice Husk"
Cauliflower,25.5,Chalk,6.1,Final,"Tree Leaves, Banana Peels, Fish Emulsion"
Beetroot,27.6,Chalk,8.1,Initial,"Coconut Shells, Grass Clippings, Corn Stalks"
Cabbage,28.9,Peat,8.0,Growth,"Compost, Mulch (Wood Chips), Sugarcane Bagasse"
Lettuce,24.1,Sand,7.1,Growth,"Fruit Scraps, Eggshells, Coconut Shells"
Spinach,27.6,Peat,7.6,Final,"Fruit Scraps, Corn Stalks, Alfalfa Hay"
Cabbage,26.7,Silt,6.4,Initial,"Fish Emulsion, Coffee Grounds, Fruit Scraps"
Garlic,33.0,Clay,6.9,Growth,"Corn Stalks, Rice Husk, Sugarcane Bagasse"
Spinach,15.9,Silt,8.0,Final,"Banana Peels, Mulch (Wood Chips), Cow Manure"
Lettuce,20.6,Loamy,6.9,Initial,"Worm Castings, Pea Pods, Cow Manure"
Mango,34.0,Chalk,6.6,Initial,"Compost, Eggshells, Rice Husk"
Potato,32.8,Peat,7.0,Growth,"Seaweed Extract, Grass Clippings, Fish Emulsion"
Beetroot,24.1,Peat,8.0,Growth,"Banana Peels, Cow Manure, Coffee Grounds"
Chili,27.4,Peat,6.5,Initial,"Alfalfa Hay, Mulch (Wood Chips), Vegetable Scraps"
Mango,20.5,Silt,6.0,Initial,"Worm Castings, Eggshells, Pea Pods"
Zucchini,18.8,Chalk,7.6,Growth,"Pea Pods, Banana Peels, Rice Husk"
Peas,24.3,Clay,8.0,Initial,"Fish Emulsion, Vegetable Scraps, Coconut Shells"
Zucchini,22.1,Loamy,5.8,Growth,"Compost, Tree Leaves, Grass Clippings"
Cauliflower,26.7,Clay,6.2,Initial,"Tree Leaves, Alfalfa Hay, Compost"
Broccoli,16.6,Silt,5.9,Growth,"Sugarcane Bagasse, Fruit Scraps, Corn Stalks"
Zucchini,34.5,Loamy,6.5,Final,"Rice Husk, Fish Emulsion, Coconut Shells"
Cabbage,34.7,Peat,6.9,Growth,"Fruit Scraps, Grass Clippings, Coconut Shells"
Chili,29.0,Sand,7.7,Growth,"Alfalfa Hay, Coffee Grounds, Vegetable Scraps"
Spinach,25.7,Silt,7.5,Final,"Fruit Scraps, Coconut Shells, Corn Stalks"
Spinach,21.2,Silt,7.4,Initial,"Coconut Shells, Mulch (Wood Chips), Chicken Manure"
Cabbage,31.3,Chalk,6.6,Final,"Alfalfa Hay, Coffee Grounds, Chicken Manure"
Mango,28.7,Clay,8.0,Growth,"Fruit Scraps, Rice Husk, Mulch (Wood Chips)"
Chili,18.3,Silt,6.9,Initial,"Pea Pods, Mulch (Wood Chips), Fruit Scraps"
Lettuce,33.2,Silt,8.4,Final,"Cow Manure, Coconut Shells, Tree Leaves"
Peas,31.5,Peat,7.4,Initial,"Corn Stalks, Eggshells, Tree Leaves"
Tomato,34.0,Peat,5.9,Initial,"Worm Castings, Tree Leaves, Banana Peels"
Garlic,29.5,Loamy,7.5,Final,"Cow Manure, Worm Castings, Banana Peels"
Mango,27.3,Sand,6.5,Initial,"Mulch (Wood Chips), Compost, Eggshells"
Peas,23.4,Chalk,7.6,Final,"Seaweed Extract, Coffee Grounds, Fruit Scraps"
Watermelon,33.7,Sand,5.7,Growth,"Eggshells, Fruit Scraps, Grass Clippings"
Spinach,32.3,Loamy,6.0,Initial,"Chicken Manure, Alfalfa Hay, Corn Stalks"
Watermelon,15.9,Peat,8.1,Growth,"Banana Peels, Eggshells, Coconut Shells"
Tomato,15.5,Clay,6.2,Growth,"Cow Manure, Vegetable Scraps, Fruit Scraps"
Broccoli,22.5,Peat,8.0,Initial,"Rice Husk, Corn Stalks, Tree Leaves"
Lettuce,31.2,Chalk,6.3,Final,"Banana Peels, Fruit Scraps, Chicken Manure"
Chili,34.7,Peat,7.4,Initial,"Fish Emulsion, Eggshells, Worm Castings"
Broccoli,18.0,Chalk,7.6,Growth,"Alfalfa Hay, Worm Castings, Pea Pods"
Garlic,26.9,Chalk,7.0,Growth,"Cow Manure, Chicken Manure, Compost"
Watermelon,22.6,Chalk,6.4,Final,"Compost, Alfalfa Hay, Mulch (Wood Chips)"
Spinach,34.4,Loamy,6.1,Initial,"Alfalfa Hay, Mulch (Wood Chips), Cow Manure"
Brinjal,31.8,Chalk,5.6,Growth,"Mulch (Wood Chips), Rice Husk, Banana Peels"
Tomato,31.8,Chalk,6.4,Growth,"Worm Castings, Mulch (Wood Chips), Fruit Scraps"
Pumpkin,24.4,Clay,7.5,Growth,"Worm Castings, Chicken Manure, Compost"
Brinjal,23.3,Sand,8.3,Final,"Compost, Tree Leaves, Coconut Shells"
Watermelon,20.5,Silt,8.1,Growth,"Alfalfa Hay, Sugarcane Bagasse, Corn Stalks"
Beetroot,16.1,Sand,7.8,Growth,"Worm Castings, Corn Stalks, Eggshells"
Pumpkin,32.3,Chalk,7.9,Initial,"Cow Manure, Seaweed Extract, Coffee Grounds"
Peas,31.3,Clay,7.5,Initial,"Tree Leaves, Grass Clippings, Banana Peels"
Watermelon,35.0,Peat,6.3,Growth,"Fish Emulsion, Banana Peels, Rice Husk"
Broccoli,34.9,Clay,8.2,Growth,"Cow Manure, Worm Castings, Fish Emulsion"
Tomato,26.1,Chalk,7.5,Initial,"Alfalfa Hay, Eggshells, Rice Husk"
Lettuce,30.4,Clay,7.2,Final,"Eggshells, Tree Leaves, Alfalfa Hay"
Watermelon,33.9,Clay,5.8,Final,"Grass Clippings, Banana Peels, Mulch (Wood Chips)"
Peas,32.0,Chalk,6.8,Final,"Tree Leaves, Pea Pods, Worm Castings"
Brinjal,19.9,Loamy,6.9,Final,"Coffee Grounds, Rice Husk, Fish Emulsion"
Cucumber,24.0,Clay,8.1,Final,"Fruit Scraps, Pea Pods, Vegetable Scraps"
Lettuce,17.6,Silt,7.1,Final,"Corn Stalks, Coffee Grounds, Mulch (Wood Chips)"
Mango,34.1,Silt,6.6,Final,"Cow Manure, Fruit Scraps, Fish Emulsion"
Garlic,27.1,Clay,8.4,Final,"Fish Emulsion, Coffee Grounds, Tree Leaves"
Mango,19.6,Loamy,5.8,Initial,"Sugarcane Bagasse, Eggshells, Pea Pods"
Pumpkin,28.4,Peat,6.8,Final,"Corn Stalks, Rice Husk, Sugarcane Bagasse"
Lettuce,27.4,Chalk,5.6,Final,"Banana Peels, Worm Castings, Mulch (Wood Chips)"
Radish,22.2,Silt,7.7,Final,"Fruit Scraps, Banana Peels, Coconut Shells"
Radish,17.3,Peat,8.3,Growth,"Alfalfa Hay, Corn Stalks, Mulch (Wood Chips)"
Cabbage,28.4,Clay,6.3,Initial,"Alfalfa Hay, Chicken Manure, Seaweed Extract"
Zucchini,25.4,Peat,8.1,Initial,"Sugarcane Bagasse, Fruit Scraps, Mulch (Wood Chips)"
Chili,30.4,Sand,6.4,Initial,"Vegetable Scraps, Mulch (Wood Chips), Eggshells"
Chili,25.4,Silt,8.2,Final,"Tree Leaves, Alfalfa Hay, Cow Manure"
Watermelon,32.0,Clay,7.8,Final,"Coffee Grounds, Banana Peels, Seaweed Extract"
Peas,26.0,Chalk,7.9,Growth,"Coffee Grounds, Corn Stalks, Fruit Scraps"
Broccoli,26.2,Loamy,5.6,Initial,"Coffee Grounds, Compost, Tree Leaves"
Pumpkin,32.5,Clay,8.4,Final,"Fish Emulsion, Coffee Grounds, Banana Peels"
Potato,23.1,Chalk,7.7,Initial,"Fish Emulsion, Corn Stalks, Fruit Scraps"
Peas,17.7,Loamy,6.4,Growth,"Alfalfa Hay, Sugarcane Bagasse, Chicken Manure"
Lettuce,15.6,Loamy,8.0,Growth,"Corn Stalks, Eggshells, Grass Clippings"
Radish,30.1,Clay,6.3,Growth,"Sugarcane Bagasse, Fish Emulsion, Compost"
Zucchini,27.4,Peat,8.1,Initial,"Fruit Scraps, Fish Emulsion, Banana Peels"
Brinjal,29.1,Peat,5.8,Final,"Worm Castings, Rice Husk, Vegetable Scraps"
Carrot,19.3,Loamy,7.6,Final,"Worm Castings, Grass Clippings, Alfalfa Hay"
Beetroot,17.7,Peat,7.1,Growth,"Cow Manure, Eggshells, Sugarcane Bagasse"
Pumpkin,15.3,Sand,5.8,Final,"Tree Leaves, Pea Pods, Compost"
Chili,22.0,Loamy,6.2,Growth,"Alfalfa Hay, Worm Castings, Compost"
Zucchini,26.8,Loamy,5.5,Initial,"Coconut Shells, Worm Castings, Alfalfa Hay"
Chili,22.8,Chalk,6.9,Growth,"Seaweed Extract, Fish Emulsion, Rice Husk"
Tomato,23.7,Peat,6.4,Initial,"Cow Manure, Banana Peels, Tree Leaves"
Cucumber,33.1,Loamy,7.3,Growth,"Sugarcane Bagasse, Mulch (Wood Chips), Fish Emulsion"
Onion,22.0,Sand,6.4,Final,"Grass Clippings, Banana Peels, Seaweed Extract"
Potato,25.3,Chalk,6.4,Final,"Tree Leaves, Seaweed Extract, Alfalfa Hay"
Garlic,30.7,Clay,7.7,Growth,"Sugarcane Bagasse, Vegetable Scraps, Mulch (Wood Chips)"
Spinach,22.9,Loamy,5.6,Final,"Pea Pods, Coffee Grounds, Coconut Shells"
Carrot,27.4,Sand,8.2,Final,"Corn Stalks, Coconut Shells, Grass Clippings"
Potato,32.2,Silt,8.1,Final,"Coffee Grounds, Vegetable Scraps, Compost"
Radish,34.0,Sand,7.5,Initial,"Coconut Shells, Compost, Rice Husk"
