Plant Name,Soil Type,Temperature,Moisture,Rainfall,Growth Time,Growth Stage,Compost Waste Recommendations,Compost C:N Ratio,Compost Moisture Content,Compost Nitrogen Content,Compost pH Level
Mango,Sandy,22,59,214,172,Final Stage,"Worm Castings, Coffee Grounds, Vegetable Scraps",35:1,50%,2.5%,6.5
Cucumber,Sandy,15,44,292,128,Final Stage,"Chicken Manure, Seaweed Extract, Coconut Shells",35:1,50%,2.5%,6.5
Broccoli,Clay,25,56,74,55,Initial Stage,"Eggshells, Sugarcane Bagasse, Pea Pods",25:1,60%,1.5%,6.0
Peas,Loamy,32,63,145,37,Initial Stage,"Coffee Grounds, Grass Clippings, Corn Stalks",25:1,60%,1.5%,6.0
Cauliflower,Sandy,24,67,127,129,Final Stage,"Chicken Manure, Alfalfa Hay, Fruit Scraps",35:1,50%,2.5%,6.5
Potato,Clay,17,62,41,116,Final Stage,"Rice Husk, Pea Pods, Fish Emulsion",35:1,50%,2.5%,6.5
Cucumber,Sandy,21,53,40,71,Final Stage,"Alfalfa Hay, Compost, Cow Manure",35:1,50%,2.5%,6.5
Garlic,Clay,30,44,33,43,Initial Stage,"Tree Leaves, Rice Husk, Corn Stalks",25:1,60%,1.5%,6.0
Tomato,Loamy,30,59,16,107,Final Stage,"Mulch (Wood Chips), Fish Emulsion, Compost",35:1,50%,2.5%,6.5
Brinjal,Loamy,34,71,164,31,Initial Stage,"Mulch (Wood Chips), Compost, Banana Peels",25:1,60%,1.5%,6.0
Brinjal,Loamy,31,46,152,148,Final Stage,"Seaweed Extract, Coconut Shells, Fruit Scraps",35:1,50%,2.5%,6.5
Spinach,Loamy,16,34,75,66,Final Stage,"Coconut Shells, Fruit Scraps, Coffee Grounds",35:1,50%,2.5%,6.5
Watermelon,Sandy,15,58,86,98,Final Stage,"Coffee Grounds, Coconut Shells, Eggshells",35:1,50%,2.5%,6.5
Mango,Sandy,30,33,116,70,Growth Stage,"Grass Clippings, Chicken Manure, Eggshells",30:1,55%,2.0%,6.2
Onion,Loamy,26,39,26,91,Final Stage,"Fish Emulsion, Tree Leaves, Banana Peels",35:1,50%,2.5%,6.5
Cabbage,Loamy,19,46,286,89,Final Stage,"Pea Pods, Fruit Scraps, Alfalfa Hay",35:1,50%,2.5%,6.5
Tomato,Loamy,19,39,133,154,Final Stage,"Fish Emulsion, Seaweed Extract, Compost",35:1,50%,2.5%,6.5
Watermelon,Sandy,23,46,218,140,Final Stage,"Sugarcane Bagasse, Rice Husk, Tree Leaves",35:1,50%,2.5%,6.5
Zucchini,Loamy,23,49,167,43,Initial Stage,"Sugarcane Bagasse, Eggshells, Vegetable Scraps",25:1,60%,1.5%,6.0
Spinach,Loamy,17,53,97,113,Final Stage,"Compost, Seaweed Extract, Alfalfa Hay",35:1,50%,2.5%,6.5
Onion,Loamy,33,34,267,159,Final Stage,"Grass Clippings, Vegetable Scraps, Banana Peels",35:1,50%,2.5%,6.5
Cabbage,Clay,30,63,236,99,Growth Stage,"Rice Husk, Grass Clippings, Seaweed Extract",30:1,55%,2.0%,6.2
Peas,Loamy,30,35,172,174,Final Stage,"Compost, Worm Castings, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Zucchini,Clay,17,31,189,152,Final Stage,"Banana Peels, Eggshells, Fruit Scraps",35:1,50%,2.5%,6.5
Mango,Clay,34,42,121,118,Growth Stage,"Corn Stalks, Coconut Shells, Fish Emulsion",30:1,55%,2.0%,6.2
Radish,Loamy,15,72,45,57,Final Stage,"Worm Castings, Compost, Coconut Shells",35:1,50%,2.5%,6.5
Mango,Clay,34,72,63,95,Growth Stage,"Coffee Grounds, Banana Peels, Sugarcane Bagasse",30:1,55%,2.0%,6.2
Broccoli,Loamy,25,77,129,34,Initial Stage,"Vegetable Scraps, Coffee Grounds, Worm Castings",25:1,60%,1.5%,6.0
Cauliflower,Sandy,31,40,192,74,Growth Stage,"Cow Manure, Rice Husk, Grass Clippings",30:1,55%,2.0%,6.2
Potato,Sandy,22,76,180,76,Growth Stage,"Cow Manure, Eggshells, Fruit Scraps",30:1,55%,2.0%,6.2
Spinach,Sandy,18,52,291,60,Final Stage,"Tree Leaves, Rice Husk, Eggshells",35:1,50%,2.5%,6.5
Chili,Sandy,20,45,281,168,Final Stage,"Eggshells, Fruit Scraps, Alfalfa Hay",35:1,50%,2.5%,6.5
Cauliflower,Clay,22,60,28,39,Initial Stage,"Compost, Alfalfa Hay, Grass Clippings",25:1,60%,1.5%,6.0
Cauliflower,Loamy,34,40,148,147,Final Stage,"Seaweed Extract, Cow Manure, Alfalfa Hay",35:1,50%,2.5%,6.5
Peas,Loamy,17,45,266,43,Final Stage,"Worm Castings, Mulch (Wood Chips), Fish Emulsion",35:1,50%,2.5%,6.5
Spinach,Loamy,30,37,295,109,Growth Stage,"Alfalfa Hay, Chicken Manure, Banana Peels",30:1,55%,2.0%,6.2
Cabbage,Sandy,17,33,10,122,Final Stage,"Compost, Fish Emulsion, Banana Peels",35:1,50%,2.5%,6.5
Cauliflower,Sandy,32,69,163,39,Initial Stage,"Tree Leaves, Fruit Scraps, Compost",25:1,60%,1.5%,6.0
Garlic,Loamy,28,33,112,105,Growth Stage,"Cow Manure, Mulch (Wood Chips), Eggshells",30:1,55%,2.0%,6.2
Tomato,Sandy,32,54,186,123,Final Stage,"Rice Husk, Cow Manure, Coffee Grounds",35:1,50%,2.5%,6.5
Cabbage,Loamy,16,32,294,134,Final Stage,"Sugarcane Bagasse, Pea Pods, Compost",35:1,50%,2.5%,6.5
Zucchini,Loamy,17,61,231,30,Final Stage,"Corn Stalks, Fruit Scraps, Banana Peels",35:1,50%,2.5%,6.5
Spinach,Loamy,30,32,226,162,Final Stage,"Worm Castings, Sugarcane Bagasse, Pea Pods",35:1,50%,2.5%,6.5
Peas,Loamy,23,56,97,49,Initial Stage,"Mulch (Wood Chips), Worm Castings, Fruit Scraps",25:1,60%,1.5%,6.0
Broccoli,Loamy,18,58,54,37,Final Stage,"Seaweed Extract, Eggshells, Coffee Grounds",35:1,50%,2.5%,6.5
Chili,Loamy,15,61,110,30,Final Stage,"Eggshells, Pea Pods, Coconut Shells",35:1,50%,2.5%,6.5
Radish,Loamy,18,79,151,86,Final Stage,"Cow Manure, Seaweed Extract, Fruit Scraps",35:1,50%,2.5%,6.5
Potato,Sandy,15,48,245,93,Final Stage,"Compost, Chicken Manure, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Garlic,Loamy,28,50,68,147,Final Stage,"Vegetable Scraps, Grass Clippings, Alfalfa Hay",35:1,50%,2.5%,6.5
Pumpkin,Loamy,30,34,288,57,Growth Stage,"Cow Manure, Banana Peels, Corn Stalks",30:1,55%,2.0%,6.2
Onion,Sandy,34,47,249,150,Final Stage,"Seaweed Extract, Grass Clippings, Chicken Manure",35:1,50%,2.5%,6.5
Cauliflower,Sandy,22,57,35,136,Final Stage,"Chicken Manure, Grass Clippings, Tree Leaves",35:1,50%,2.5%,6.5
Potato,Sandy,21,71,238,78,Growth Stage,"Pea Pods, Corn Stalks, Cow Manure",30:1,55%,2.0%,6.2
Chili,Loamy,17,51,147,149,Final Stage,"Coconut Shells, Seaweed Extract, Banana Peels",35:1,50%,2.5%,6.5
Cabbage,Clay,31,50,226,73,Growth Stage,"Corn Stalks, Tree Leaves, Coffee Grounds",30:1,55%,2.0%,6.2
Tomato,Clay,15,35,243,85,Final Stage,"Vegetable Scraps, Compost, Chicken Manure",35:1,50%,2.5%,6.5
Zucchini,Sandy,30,30,200,140,Final Stage,"Pea Pods, Sugarcane Bagasse, Vegetable Scraps",35:1,50%,2.5%,6.5
Garlic,Clay,26,34,153,163,Final Stage,"Fruit Scraps, Vegetable Scraps, Tree Leaves",35:1,50%,2.5%,6.5
Spinach,Sandy,33,70,72,137,Final Stage,"Coffee Grounds, Alfalfa Hay, Seaweed Extract",35:1,50%,2.5%,6.5
Spinach,Loamy,28,41,200,177,Final Stage,"Seaweed Extract, Chicken Manure, Fruit Scraps",35:1,50%,2.5%,6.5
Cabbage,Clay,20,55,295,143,Final Stage,"Sugarcane Bagasse, Pea Pods, Corn Stalks",35:1,50%,2.5%,6.5
Carrot,Loamy,20,75,16,107,Final Stage,"Worm Castings, Corn Stalks, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Chili,Clay,27,63,128,159,Final Stage,"Seaweed Extract, Coconut Shells, Alfalfa Hay",35:1,50%,2.5%,6.5
Beetroot,Loamy,33,78,216,66,Growth Stage,"Tree Leaves, Vegetable Scraps, Chicken Manure",30:1,55%,2.0%,6.2
Mango,Clay,22,43,60,49,Initial Stage,"Fruit Scraps, Worm Castings, Coconut Shells",25:1,60%,1.5%,6.0
Peas,Loamy,16,55,103,55,Final Stage,"Tree Leaves, Grass Clippings, Compost",35:1,50%,2.5%,6.5
Zucchini,Loamy,15,74,41,58,Final Stage,"Coconut Shells, Pea Pods, Chicken Manure",35:1,50%,2.5%,6.5
Tomato,Clay,29,56,24,30,Initial Stage,"Sugarcane Bagasse, Seaweed Extract, Fruit Scraps",25:1,60%,1.5%,6.0
Carrot,Loamy,15,38,38,148,Final Stage,"Coffee Grounds, Eggshells, Tree Leaves",35:1,50%,2.5%,6.5
Cabbage,Loamy,19,55,290,64,Final Stage,"Sugarcane Bagasse, Grass Clippings, Fruit Scraps",35:1,50%,2.5%,6.5
Watermelon,Loamy,30,76,130,88,Growth Stage,"Tree Leaves, Worm Castings, Fruit Scraps",30:1,55%,2.0%,6.2
Chili,Clay,33,51,228,98,Growth Stage,"Vegetable Scraps, Grass Clippings, Mulch (Wood Chips)",30:1,55%,2.0%,6.2
Mango,Clay,18,76,107,41,Final Stage,"Chicken Manure, Banana Peels, Alfalfa Hay",35:1,50%,2.5%,6.5
Chili,Loamy,17,59,171,49,Final Stage,"Fruit Scraps, Alfalfa Hay, Worm Castings",35:1,50%,2.5%,6.5
Cabbage,Loamy,31,72,101,72,Growth Stage,"Grass Clippings, Fruit Scraps, Seaweed Extract",30:1,55%,2.0%,6.2
Cucumber,Clay,31,77,11,155,Final Stage,"Pea Pods, Tree Leaves, Alfalfa Hay",35:1,50%,2.5%,6.5
Zucchini,Clay,26,46,274,79,Growth Stage,"Pea Pods, Seaweed Extract, Coffee Grounds",30:1,55%,2.0%,6.2
Cucumber,Loamy,28,55,100,58,Initial Stage,"Mulch (Wood Chips), Alfalfa Hay, Grass Clippings",25:1,60%,1.5%,6.0
Watermelon,Loamy,20,65,43,68,Final Stage,"Corn Stalks, Seaweed Extract, Banana Peels",35:1,50%,2.5%,6.5
Cauliflower,Loamy,17,30,16,67,Final Stage,"Rice Husk, Eggshells, Chicken Manure",35:1,50%,2.5%,6.5
Pumpkin,Sandy,23,37,56,113,Growth Stage,"Coconut Shells, Banana Peels, Coffee Grounds",30:1,55%,2.0%,6.2
Beetroot,Clay,19,78,11,157,Final Stage,"Rice Husk, Fish Emulsion, Banana Peels",35:1,50%,2.5%,6.5
Peas,Sandy,31,64,79,155,Final Stage,"Eggshells, Fish Emulsion, Corn Stalks",35:1,50%,2.5%,6.5
Cabbage,Clay,28,44,215,74,Growth Stage,"Coffee Grounds, Worm Castings, Grass Clippings",30:1,55%,2.0%,6.2
Brinjal,Clay,17,76,263,81,Final Stage,"Eggshells, Alfalfa Hay, Fish Emulsion",35:1,50%,2.5%,6.5
Chili,Clay,15,51,148,109,Final Stage,"Sugarcane Bagasse, Alfalfa Hay, Eggshells",35:1,50%,2.5%,6.5
Radish,Clay,34,43,80,153,Final Stage,"Corn Stalks, Coffee Grounds, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Broccoli,Clay,15,55,214,148,Final Stage,"Seaweed Extract, Coffee Grounds, Corn Stalks",35:1,50%,2.5%,6.5
Tomato,Clay,17,57,197,37,Final Stage,"Chicken Manure, Coconut Shells, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Mango,Clay,32,52,199,114,Growth Stage,"Seaweed Extract, Banana Peels, Rice Husk",30:1,55%,2.0%,6.2
Spinach,Sandy,24,43,24,158,Final Stage,"Fish Emulsion, Cow Manure, Eggshells",35:1,50%,2.5%,6.5
Cucumber,Loamy,17,53,88,37,Final Stage,"Sugarcane Bagasse, Pea Pods, Coffee Grounds",35:1,50%,2.5%,6.5
Mango,Loamy,22,31,267,125,Final Stage,"Chicken Manure, Alfalfa Hay, Banana Peels",35:1,50%,2.5%,6.5
Cucumber,Sandy,28,74,142,131,Final Stage,"Seaweed Extract, Coffee Grounds, Eggshells",35:1,50%,2.5%,6.5
Watermelon,Sandy,32,55,58,34,Initial Stage,"Mulch (Wood Chips), Grass Clippings, Corn Stalks",25:1,60%,1.5%,6.0
Carrot,Sandy,29,43,25,115,Final Stage,"Chicken Manure, Coconut Shells, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Cabbage,Sandy,16,36,46,63,Final Stage,"Mulch (Wood Chips), Rice Husk, Vegetable Scraps",35:1,50%,2.5%,6.5
Broccoli,Clay,24,32,287,84,Growth Stage,"Alfalfa Hay, Seaweed Extract, Sugarcane Bagasse",30:1,55%,2.0%,6.2
Cucumber,Loamy,16,76,265,148,Final Stage,"Chicken Manure, Cow Manure, Corn Stalks",35:1,50%,2.5%,6.5
Zucchini,Clay,31,52,15,143,Final Stage,"Sugarcane Bagasse, Tree Leaves, Banana Peels",35:1,50%,2.5%,6.5
Pumpkin,Loamy,22,75,198,174,Final Stage,"Chicken Manure, Coffee Grounds, Corn Stalks",35:1,50%,2.5%,6.5
Carrot,Loamy,15,72,281,55,Final Stage,"Cow Manure, Banana Peels, Fish Emulsion",35:1,50%,2.5%,6.5
Cucumber,Sandy,23,76,85,165,Final Stage,"Compost, Worm Castings, Coconut Shells",35:1,50%,2.5%,6.5
Mango,Clay,25,74,249,76,Growth Stage,"Tree Leaves, Alfalfa Hay, Pea Pods",30:1,55%,2.0%,6.2
Garlic,Sandy,30,47,269,142,Final Stage,"Seaweed Extract, Corn Stalks, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Broccoli,Clay,21,67,116,105,Growth Stage,"Vegetable Scraps, Eggshells, Tree Leaves",30:1,55%,2.0%,6.2
Cucumber,Loamy,24,64,6,101,Final Stage,"Fruit Scraps, Seaweed Extract, Corn Stalks",35:1,50%,2.5%,6.5
Broccoli,Sandy,17,44,136,118,Final Stage,"Tree Leaves, Corn Stalks, Fish Emulsion",35:1,50%,2.5%,6.5
Cabbage,Sandy,32,54,175,75,Growth Stage,"Rice Husk, Fruit Scraps, Mulch (Wood Chips)",30:1,55%,2.0%,6.2
Lettuce,Loamy,27,66,214,62,Growth Stage,"Pea Pods, Mulch (Wood Chips), Sugarcane Bagasse",30:1,55%,2.0%,6.2
Broccoli,Loamy,21,57,81,30,Initial Stage,"Vegetable Scraps, Sugarcane Bagasse, Coffee Grounds",25:1,60%,1.5%,6.0
Peas,Loamy,18,39,222,176,Final Stage,"Worm Castings, Alfalfa Hay, Fruit Scraps",35:1,50%,2.5%,6.5
Zucchini,Sandy,27,68,102,60,Initial Stage,"Tree Leaves, Cow Manure, Alfalfa Hay",25:1,60%,1.5%,6.0
Brinjal,Clay,34,46,272,171,Final Stage,"Corn Stalks, Vegetable Scraps, Compost",35:1,50%,2.5%,6.5
Beetroot,Sandy,15,68,13,82,Final Stage,"Seaweed Extract, Vegetable Scraps, Chicken Manure",35:1,50%,2.5%,6.5
Cucumber,Clay,22,51,158,77,Growth Stage,"Alfalfa Hay, Sugarcane Bagasse, Chicken Manure",30:1,55%,2.0%,6.2
Peas,Sandy,28,55,151,98,Growth Stage,"Alfalfa Hay, Grass Clippings, Seaweed Extract",30:1,55%,2.0%,6.2
Broccoli,Sandy,30,73,107,134,Final Stage,"Grass Clippings, Alfalfa Hay, Fish Emulsion",35:1,50%,2.5%,6.5
Chili,Loamy,28,54,187,119,Growth Stage,"Coffee Grounds, Tree Leaves, Vegetable Scraps",30:1,55%,2.0%,6.2
Zucchini,Clay,26,46,97,92,Growth Stage,"Vegetable Scraps, Banana Peels, Coconut Shells",30:1,55%,2.0%,6.2
Cucumber,Sandy,33,42,130,102,Growth Stage,"Tree Leaves, Compost, Coconut Shells",30:1,55%,2.0%,6.2
Mango,Sandy,29,49,292,118,Growth Stage,"Seaweed Extract, Fish Emulsion, Tree Leaves",30:1,55%,2.0%,6.2
Watermelon,Loamy,16,54,170,42,Final Stage,"Coffee Grounds, Mulch (Wood Chips), Corn Stalks",35:1,50%,2.5%,6.5
Carrot,Loamy,16,33,182,102,Final Stage,"Banana Peels, Pea Pods, Alfalfa Hay",35:1,50%,2.5%,6.5
Pumpkin,Clay,33,39,38,106,Final Stage,"Corn Stalks, Vegetable Scraps, Tree Leaves",35:1,50%,2.5%,6.5
Peas,Sandy,31,32,14,97,Final Stage,"Fruit Scraps, Vegetable Scraps, Banana Peels",35:1,50%,2.5%,6.5
Tomato,Clay,34,70,3,127,Final Stage,"Worm Castings, Seaweed Extract, Pea Pods",35:1,50%,2.5%,6.5
Zucchini,Sandy,24,74,209,154,Final Stage,"Vegetable Scraps, Compost, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Cucumber,Clay,20,47,160,131,Final Stage,"Tree Leaves, Eggshells, Worm Castings",35:1,50%,2.5%,6.5
Potato,Loamy,29,76,15,161,Final Stage,"Pea Pods, Corn Stalks, Compost",35:1,50%,2.5%,6.5
Cabbage,Sandy,25,65,107,131,Final Stage,"Sugarcane Bagasse, Coffee Grounds, Tree Leaves",35:1,50%,2.5%,6.5
Peas,Clay,19,76,226,48,Final Stage,"Tree Leaves, Vegetable Scraps, Corn Stalks",35:1,50%,2.5%,6.5
Cucumber,Loamy,15,51,169,111,Final Stage,"Sugarcane Bagasse, Chicken Manure, Worm Castings",35:1,50%,2.5%,6.5
Peas,Loamy,22,63,33,170,Final Stage,"Seaweed Extract, Grass Clippings, Alfalfa Hay",35:1,50%,2.5%,6.5
Watermelon,Clay,26,76,250,52,Initial Stage,"Coffee Grounds, Corn Stalks, Cow Manure",25:1,60%,1.5%,6.0
Watermelon,Sandy,26,37,246,112,Growth Stage,"Corn Stalks, Compost, Seaweed Extract",30:1,55%,2.0%,6.2
Carrot,Sandy,19,69,268,138,Final Stage,"Alfalfa Hay, Fish Emulsion, Rice Husk",35:1,50%,2.5%,6.5
Spinach,Loamy,21,78,140,104,Growth Stage,"Tree Leaves, Fish Emulsion, Chicken Manure",30:1,55%,2.0%,6.2
Peas,Sandy,18,73,273,158,Final Stage,"Vegetable Scraps, Seaweed Extract, Worm Castings",35:1,50%,2.5%,6.5
Cucumber,Sandy,20,48,95,117,Growth Stage,"Grass Clippings, Compost, Coconut Shells",30:1,55%,2.0%,6.2
Peas,Sandy,27,71,226,83,Growth Stage,"Cow Manure, Coconut Shells, Coffee Grounds",30:1,55%,2.0%,6.2
Garlic,Loamy,34,70,38,118,Final Stage,"Rice Husk, Banana Peels, Tree Leaves",35:1,50%,2.5%,6.5
Pumpkin,Clay,29,66,28,172,Final Stage,"Mulch (Wood Chips), Coconut Shells, Compost",35:1,50%,2.5%,6.5
Garlic,Sandy,17,35,244,94,Final Stage,"Chicken Manure, Coconut Shells, Tree Leaves",35:1,50%,2.5%,6.5
Cauliflower,Loamy,22,55,235,105,Growth Stage,"Compost, Coconut Shells, Corn Stalks",30:1,55%,2.0%,6.2
Cabbage,Loamy,34,63,184,172,Final Stage,"Fruit Scraps, Corn Stalks, Chicken Manure",35:1,50%,2.5%,6.5
Potato,Clay,30,74,271,178,Final Stage,"Seaweed Extract, Coconut Shells, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Cucumber,Sandy,27,35,235,176,Final Stage,"Vegetable Scraps, Worm Castings, Seaweed Extract",35:1,50%,2.5%,6.5
Radish,Sandy,32,66,238,89,Growth Stage,"Fish Emulsion, Grass Clippings, Worm Castings",30:1,55%,2.0%,6.2
Onion,Clay,24,62,265,122,Final Stage,"Tree Leaves, Corn Stalks, Seaweed Extract",35:1,50%,2.5%,6.5
Garlic,Clay,33,51,64,78,Growth Stage,"Seaweed Extract, Chicken Manure, Sugarcane Bagasse",30:1,55%,2.0%,6.2
Zucchini,Loamy,31,50,176,64,Growth Stage,"Sugarcane Bagasse, Alfalfa Hay, Coconut Shells",30:1,55%,2.0%,6.2
Onion,Loamy,33,35,2,131,Final Stage,"Cow Manure, Corn Stalks, Eggshells",35:1,50%,2.5%,6.5
Cabbage,Clay,19,35,141,40,Final Stage,"Corn Stalks, Compost, Fish Emulsion",35:1,50%,2.5%,6.5
Cauliflower,Sandy,23,77,157,128,Final Stage,"Seaweed Extract, Corn Stalks, Fish Emulsion",35:1,50%,2.5%,6.5
Tomato,Loamy,26,33,145,139,Final Stage,"Chicken Manure, Pea Pods, Fruit Scraps",35:1,50%,2.5%,6.5
Peas,Loamy,15,59,292,103,Final Stage,"Coconut Shells, Sugarcane Bagasse, Fish Emulsion",35:1,50%,2.5%,6.5
Peas,Sandy,15,40,152,38,Final Stage,"Compost, Mulch (Wood Chips), Vegetable Scraps",35:1,50%,2.5%,6.5
Watermelon,Loamy,29,59,192,32,Initial Stage,"Cow Manure, Seaweed Extract, Pea Pods",25:1,60%,1.5%,6.0
Cabbage,Sandy,16,60,72,114,Final Stage,"Sugarcane Bagasse, Pea Pods, Fish Emulsion",35:1,50%,2.5%,6.5
Pumpkin,Sandy,30,53,139,55,Initial Stage,"Compost, Chicken Manure, Mulch (Wood Chips)",25:1,60%,1.5%,6.0
Spinach,Sandy,22,38,186,101,Growth Stage,"Tree Leaves, Fish Emulsion, Grass Clippings",30:1,55%,2.0%,6.2
Tomato,Clay,27,32,292,77,Growth Stage,"Alfalfa Hay, Pea Pods, Seaweed Extract",30:1,55%,2.0%,6.2
Carrot,Clay,15,60,60,146,Final Stage,"Compost, Rice Husk, Fruit Scraps",35:1,50%,2.5%,6.5
Brinjal,Clay,30,69,197,41,Initial Stage,"Coconut Shells, Mulch (Wood Chips), Alfalfa Hay",25:1,60%,1.5%,6.0
Chili,Sandy,21,66,294,162,Final Stage,"Fruit Scraps, Eggshells, Grass Clippings",35:1,50%,2.5%,6.5
Carrot,Sandy,19,65,10,77,Final Stage,"Tree Leaves, Seaweed Extract, Cow Manure",35:1,50%,2.5%,6.5
Cauliflower,Clay,17,53,61,66,Final Stage,"Corn Stalks, Mulch (Wood Chips), Banana Peels",35:1,50%,2.5%,6.5
Cauliflower,Loamy,26,60,225,73,Growth Stage,"Sugarcane Bagasse, Rice Husk, Fish Emulsion",30:1,55%,2.0%,6.2
Cucumber,Sandy,30,35,152,44,Growth Stage,"Coffee Grounds, Vegetable Scraps, Fish Emulsion",30:1,55%,2.0%,6.2
Chili,Loamy,33,31,198,72,Growth Stage,"Mulch (Wood Chips), Cow Manure, Fish Emulsion",30:1,55%,2.0%,6.2
Chili,Loamy,19,49,51,116,Final Stage,"Grass Clippings, Sugarcane Bagasse, Fish Emulsion",35:1,50%,2.5%,6.5
Peas,Sandy,28,57,259,99,Growth Stage,"Fish Emulsion, Compost, Rice Husk",30:1,55%,2.0%,6.2
Broccoli,Sandy,19,40,58,75,Final Stage,"Compost, Cow Manure, Eggshells",35:1,50%,2.5%,6.5
Zucchini,Loamy,29,33,71,137,Final Stage,"Tree Leaves, Eggshells, Cow Manure",35:1,50%,2.5%,6.5
Carrot,Loamy,31,44,147,152,Final Stage,"Sugarcane Bagasse, Vegetable Scraps, Banana Peels",35:1,50%,2.5%,6.5
Broccoli,Clay,28,35,62,50,Growth Stage,"Worm Castings, Tree Leaves, Sugarcane Bagasse",30:1,55%,2.0%,6.2
Mango,Clay,34,78,242,136,Final Stage,"Pea Pods, Chicken Manure, Alfalfa Hay",35:1,50%,2.5%,6.5
Zucchini,Sandy,19,59,106,109,Final Stage,"Cow Manure, Worm Castings, Alfalfa Hay",35:1,50%,2.5%,6.5
Broccoli,Clay,26,67,225,76,Growth Stage,"Chicken Manure, Pea Pods, Worm Castings",30:1,55%,2.0%,6.2
Watermelon,Clay,30,31,217,146,Final Stage,"Alfalfa Hay, Fruit Scraps, Compost",35:1,50%,2.5%,6.5
Beetroot,Clay,30,44,240,153,Final Stage,"Fruit Scraps, Mulch (Wood Chips), Worm Castings",35:1,50%,2.5%,6.5
Watermelon,Clay,21,40,258,172,Final Stage,"Coffee Grounds, Sugarcane Bagasse, Vegetable Scraps",35:1,50%,2.5%,6.5
Cauliflower,Loamy,18,37,261,54,Final Stage,"Chicken Manure, Eggshells, Cow Manure",35:1,50%,2.5%,6.5
Brinjal,Sandy,15,55,4,65,Final Stage,"Vegetable Scraps, Fish Emulsion, Tree Leaves",35:1,50%,2.5%,6.5
Cabbage,Clay,19,74,260,80,Final Stage,"Worm Castings, Grass Clippings, Corn Stalks",35:1,50%,2.5%,6.5
Cauliflower,Loamy,24,73,53,44,Initial Stage,"Vegetable Scraps, Tree Leaves, Corn Stalks",25:1,60%,1.5%,6.0
Spinach,Loamy,19,34,46,97,Final Stage,"Chicken Manure, Cow Manure, Sugarcane Bagasse",35:1,50%,2.5%,6.5
Spinach,Loamy,18,35,214,50,Final Stage,"Chicken Manure, Seaweed Extract, Pea Pods",35:1,50%,2.5%,6.5
Peas,Clay,16,55,176,170,Final Stage,"Seaweed Extract, Compost, Mulch (Wood Chips)",35:1,50%,2.5%,6.5
Tomato,Clay,34,33,8,48,Final Stage,"Alfalfa Hay, Rice Husk, Coffee Grounds",35:1,50%,2.5%,6.5
Carrot,Sandy,24,48,98,63,Growth Stage,"Fish Emulsion, Cow Manure, Mulch (Wood Chips)",30:1,55%,2.0%,6.2
Mango,Clay,33,49,19,107,Final Stage,"Grass Clippings, Sugarcane Bagasse, Fish Emulsion",35:1,50%,2.5%,6.5
Mango,Clay,15,62,240,154,Final Stage,"Sugarcane Bagasse, Alfalfa Hay, Coffee Grounds",35:1,50%,2.5%,6.5
Radish,Loamy,19,49,60,146,Final Stage,"Tree Leaves, Rice Husk, Grass Clippings",35:1,50%,2.5%,6.5
Pumpkin,Sandy,27,78,177,81,Growth Stage,"Eggshells, Grass Clippings, Worm Castings",30:1,55%,2.0%,6.2
Cauliflower,Clay,18,41,61,56,Final Stage,"Compost, Corn Stalks, Alfalfa Hay",35:1,50%,2.5%,6.5
Mango,Clay,30,76,144,64,Growth Stage,"Corn Stalks, Fish Emulsion, Rice Husk",30:1,55%,2.0%,6.2
Carrot,Loamy,30,30,215,165,Final Stage,"Fish Emulsion, Corn Stalks, Coffee Grounds",35:1,50%,2.5%,6.5
Broccoli,Loamy,16,55,2,173,Final Stage,"Seaweed Extract, Fruit Scraps, Vegetable Scraps",35:1,50%,2.5%,6.5
Lettuce,Clay,31,43,159,135,Final Stage,"Fruit Scraps, Compost, Rice Husk",35:1,50%,2.5%,6.5
Tomato,Sandy,34,67,226,175,Final Stage,"Grass Clippings, Banana Peels, Fruit Scraps",35:1,50%,2.5%,6.5
Brinjal,Sandy,26,66,268,31,Initial Stage,"Coffee Grounds, Coconut Shells, Sugarcane Bagasse",25:1,60%,1.5%,6.0
Pumpkin,Loamy,32,40,119,106,Growth Stage,"Mulch (Wood Chips), Banana Peels, Worm Castings",30:1,55%,2.0%,6.2
Cabbage,Loamy,17,65,88,161,Final Stage,"Coconut Shells, Worm Castings, Corn Stalks",35:1,50%,2.5%,6.5
Carrot,Clay,15,42,67,119,Final Stage,"Vegetable Scraps, Fruit Scraps, Alfalfa Hay",35:1,50%,2.5%,6.5
Cucumber,Loamy,15,72,97,118,Final Stage,"Sugarcane Bagasse, Vegetable Scraps, Compost",35:1,50%,2.5%,6.5
Cabbage,Clay,33,32,266,123,Final Stage,"Tree Leaves, Vegetable Scraps, Worm Castings",35:1,50%,2.5%,6.5
Garlic,Sandy,25,62,104,36,Initial Stage,"Coconut Shells, Rice Husk, Fruit Scraps",25:1,60%,1.5%,6.0
